month,year,location,stringency_index
5,2020,Bahrain,75.0
5,2020,Bangladesh,93.52
5,2020,Bhutan,83.33
5,2020,Brunei,58.33
5,2020,Cambodia,65.74
5,2020,China,81.94
5,2020,Georgia,96.3
5,2020,Hong Kong,66.67
5,2020,India,96.3
5,2020,Indonesia,80.09
5,2020,Iran,53.7
5,2020,Iraq,92.59
5,2020,Israel,84.26
5,2020,Japan,47.22
5,2020,Jordan,89.81
5,2020,Kazakhstan,89.35
5,2020,Kuwait,100.0
5,2020,Kyrgyzstan,88.43
5,2020,Laos,96.3
5,2020,Lebanon,85.19
5,2020,Macao,40.74
5,2020,Malaysia,78.7
5,2020,Maldives,
5,2020,Mongolia,85.19
5,2020,Myanmar,86.11
5,2020,Nepal,96.3
5,2020,North Korea,
5,2020,Oman,87.96
5,2020,Pakistan,89.81
5,2020,Palestine,96.3
5,2020,Philippines,96.3
5,2020,Qatar,83.33
5,2020,Saudi Arabia,91.67
5,2020,Singapore,82.41
5,2020,South Korea,55.09
5,2020,Sri Lanka,82.41
5,2020,Syria,87.04
5,2020,Taiwan,31.48
5,2020,Tajikistan,55.56
5,2020,Thailand,76.85
5,2020,Timor,66.67
5,2020,Turkey,75.93
5,2020,United Arab Emirates,81.48
5,2020,Uzbekistan,93.52
5,2020,Vietnam,76.85
5,2020,Yemen,64.81
5,2021,Afghanistan,54.63
5,2021,Armenia,
5,2021,Azerbaijan,78.7
5,2021,Bahrain,66.67
5,2021,Bangladesh,83.33
5,2021,Bhutan,71.3
5,2021,Brunei,40.74
5,2021,Cambodia,83.8
5,2021,China,78.24
5,2021,Georgia,64.81
5,2021,Hong Kong,71.3
5,2021,India,81.94
5,2021,Indonesia,71.76
5,2021,Iran,81.48
5,2021,Iraq,77.31
5,2021,Israel,47.61
5,2021,Japan,49.07
5,2021,Jordan,70.37
5,2021,Kazakhstan,68.52
5,2021,Kuwait,81.48
5,2021,Kyrgyzstan,54.63
5,2021,Laos,85.19
5,2021,Lebanon,81.39
5,2021,Macao,23.15
5,2021,Malaysia,80.56
5,2021,Maldives,
5,2021,Mongolia,96.3
5,2021,Myanmar,72.22
5,2021,Nepal,97.22
5,2021,North Korea,
5,2021,Northern Cyprus,
5,2021,Oman,80.56
5,2021,Pakistan,78.24
5,2021,Palestine,87.04
5,2021,Philippines,74.54
5,2021,Qatar,85.19
5,2021,Saudi Arabia,53.7
5,2021,Singapore,58.33
5,2021,South Korea,58.33
5,2021,Sri Lanka,90.74
5,2021,Syria,57.87
5,2021,Taiwan,76.85
5,2021,Tajikistan,35.19
5,2021,Thailand,59.26
5,2021,Timor,82.87
5,2021,Turkey,87.04
5,2021,Turkmenistan,
5,2021,United Arab Emirates,56.48
5,2021,Uzbekistan,50.0
5,2021,Vietnam,77.31
5,2021,Yemen,34.26
5,2022,Afghanistan,16.67
5,2022,Armenia,
5,2022,Azerbaijan,46.09
5,2022,Bahrain,11.11
5,2022,Bangladesh,13.89
5,2022,Bhutan,38.89
5,2022,Brunei,46.18
5,2022,Cambodia,21.73
5,2022,China,79.17
5,2022,Georgia,21.3
5,2022,Hong Kong,57.91
5,2022,India,37.04
5,2022,Indonesia,45.0
5,2022,Iran,59.17
5,2022,Iraq,45.23
5,2022,Israel,17.59
5,2022,Japan,45.37
5,2022,Jordan,20.37
5,2022,Kazakhstan,22.22
5,2022,Kuwait,11.11
5,2022,Kyrgyzstan,41.67
5,2022,Laos,65.74
5,2022,Lebanon,30.56
5,2022,Macao,32.41
5,2022,Malaysia,21.89
5,2022,Maldives,
5,2022,Mongolia,0.0
5,2022,Myanmar,56.85
5,2022,Nepal,25.97
5,2022,North Korea,
5,2022,Northern Cyprus,
5,2022,Oman,26.71
5,2022,Pakistan,43.0
5,2022,Palestine,22.22
5,2022,Philippines,30.9
5,2022,Qatar,32.7
5,2022,Saudi Arabia,40.83
5,2022,Singapore,28.44
5,2022,South Korea,14.28
5,2022,Sri Lanka,32.42
5,2022,Syria,26.85
5,2022,Taiwan,26.85
5,2022,Tajikistan,15.74
5,2022,Thailand,41.2
5,2022,Timor,19.38
5,2022,Turkey,13.89
5,2022,Turkmenistan,
5,2022,United Arab Emirates,32.3
5,2022,Uzbekistan,28.7
5,2022,Vietnam,28.7
5,2022,Yemen,28.7
6,2020,Afghanistan,84.26
6,2020,Armenia,
6,2020,Azerbaijan,96.3
6,2020,Bahrain,75.0
6,2020,Bangladesh,74.54
6,2020,Bhutan,83.33
6,2020,Brunei,52.78
6,2020,Cambodia,49.07
6,2020,China,81.94
6,2020,Georgia,69.44
6,2020,Hong Kong,52.78
6,2020,India,87.5
6,2020,Indonesia,71.76
6,2020,Iran,44.44
6,2020,Iraq,92.59
6,2020,Israel,75.0
6,2020,Japan,28.7
6,2020,Jordan,77.78
6,2020,Kazakhstan,81.02
6,2020,Kuwait,83.8
6,2020,Kyrgyzstan,79.17
6,2020,Laos,43.52
6,2020,Lebanon,74.07
6,2020,Macao,34.26
6,2020,Malaysia,75.0
6,2020,Maldives,
6,2020,Mongolia,71.3
6,2020,Myanmar,80.56
6,2020,Nepal,92.59
6,2020,North Korea,
6,2020,Oman,87.96
6,2020,Pakistan,82.41
6,2020,Palestine,80.56
6,2020,Philippines,79.63
6,2020,Qatar,83.33
6,2020,Saudi Arabia,81.94
6,2020,Singapore,73.15
6,2020,South Korea,55.09
6,2020,Sri Lanka,76.85
6,2020,Syria,69.44
6,2020,Taiwan,25.93
6,2020,Tajikistan,69.44
6,2020,Thailand,75.0
6,2020,Timor,33.33
6,2020,Turkey,63.89
6,2020,United Arab Emirates,72.22
6,2020,Uzbekistan,81.94
6,2020,Vietnam,69.44
6,2020,Yemen,63.89
6,2021,Afghanistan,46.3
6,2021,Armenia,
6,2021,Azerbaijan,69.44
6,2021,Bahrain,66.67
6,2021,Bangladesh,86.11
6,2021,Bhutan,68.52
6,2021,Brunei,40.74
6,2021,Cambodia,83.8
6,2021,China,78.24
6,2021,Georgia,64.81
6,2021,Hong Kong,71.3
6,2021,India,81.94
6,2021,Indonesia,71.76
6,2021,Iran,76.39
6,2021,Iraq,77.31
6,2021,Israel,29.63
6,2021,Japan,55.09
6,2021,Jordan,53.7
6,2021,Kazakhstan,62.96
6,2021,Kuwait,73.97
